Type,SpecifiedButton,Pressed,TimePressed
Key,BTN_SOUTH,1,10:20:21.806344
Key,BTN_SOUTH,0,10:20:21.921442
Key,BTN_SOUTH,1,10:20:21.986376
Key,BTN_SOUTH,0,10:20:22.102328
Key,BTN_SOUTH,1,10:20:22.750496
Key,BTN_SOUTH,0,10:20:22.889350
Key,BTN_SOUTH,1,10:20:23.237485
Key,BTN_SOUTH,0,10:20:23.345367
Key,BTN_SOUTH,1,10:20:23.499553
Key,BTN_SOUTH,0,10:20:23.597443
Key,BTN_SOUTH,1,10:20:23.717200
Key,BTN_SOUTH,0,10:20:23.789358
Key,BTN_SOUTH,1,10:20:23.894474
Key,BTN_SOUTH,0,10:20:23.977446
Key,BTN_SOUTH,1,10:20:24.065314
Key,BTN_SOUTH,0,10:20:24.157414
Key,BTN_SOUTH,1,10:20:24.230258
Key,BTN_SOUTH,0,10:20:24.349425
Key,BTN_SOUTH,1,10:20:24.409363
Key,BTN_SOUTH,0,10:20:24.525446
Key,BTN_SOUTH,1,10:20:24.590446
Key,BTN_SOUTH,0,10:20:24.709489
Key,BTN_SOUTH,1,10:20:24.790340
Key,BTN_SOUTH,0,10:20:24.893414
Key,BTN_SOUTH,1,10:20:24.974500
Key,BTN_SOUTH,0,10:20:25.093442
Key,BTN_SOUTH,1,10:20:25.162419
Key,BTN_SOUTH,0,10:20:25.277452
Key,BTN_SOUTH,1,10:20:25.422293
Key,BTN_SOUTH,0,10:20:25.485433
Key,BTN_SOUTH,1,10:20:25.689242
Key,BTN_SOUTH,0,10:20:25.825447
Key,BTN_SOUTH,1,10:20:25.997298
Key,BTN_SOUTH,0,10:20:26.009373
Key,BTN_SOUTH,1,10:20:26.258350
Key,BTN_SOUTH,0,10:20:26.334396
Key,BTN_SOUTH,1,10:20:26.492881
Key,BTN_SOUTH,0,10:20:26.609454
Key,BTN_SOUTH,1,10:20:26.733480
Key,BTN_SOUTH,0,10:20:26.841438
Key,BTN_SOUTH,1,10:20:26.962465
Key,BTN_SOUTH,0,10:20:27.069453
Key,BTN_SOUTH,1,10:20:27.385303
Key,BTN_SOUTH,0,10:20:27.505438
