Type,SpecifiedButton,Pressed,TimePressed
Key,BTN_SOUTH,1,10:45:32.652953
Key,BTN_SOUTH,0,10:45:32.747492
Key,BTN_SOUTH,1,10:45:32.908582
Key,BTN_SOUTH,0,10:45:32.995683
Key,BTN_SOUTH,1,10:45:34.231723
Key,BTN_SOUTH,0,10:45:34.371526
Key,BTN_TL,1,10:45:45.136802
Key,BTN_TL,0,10:45:45.227728
Absolute,TRIGGER_LEFT,PUSHED,10:45:45.419578
Absolute,TRIGGER_LEFT,NEUTRAL,10:45:49.343739
Key,BTN_SOUTH,1,10:45:53.173691
Key,BTN_SOUTH,0,10:45:56.123754
Key,BTN_TR,1,10:45:58.816645
Key,BTN_TR,0,10:46:01.959674
Absolute,TRIGGER_LEFT,PUSHED,10:46:02.887732
Absolute,TRIGGER_RIGHT,PUSHED,10:46:02.935716
Absolute,JOYSTICK_LEFT,DOWN_LEFT,10:46:03.587767
Absolute,JOYSTICK_LEFT,LEFT,10:46:03.963767
